"cluster","median.target","pval","FDR"
"c1.2R.1_5",0.019173525,3.66388725729258e-236,2.69795334400635e-235
"c1.3R.1_5",0.02706895,3.20510870869194e-71,1.12875567566977e-70
"c1.X.1_5",0.0144923,4.89498515269645e-41,9.91234493421031e-41
"c1.2L.1_5",0.0225640083333334,1.4116312810402e-12,1.68150196712141e-12
"c2.2L.1_5",0.0294631833333334,3.17235573773651e-29,4.84831725955957e-29
"c2.3R.1_5",0.00942081666666666,4.9526254493536e-19,6.47036550641357e-19
"c3.2L.1_5",0.0283091833333333,2.96067920154833e-132,1.33230564069675e-131
"c2.X.1_5",0.010607,2.44996124906686e-06,2.61114291018968e-06
"c1.3L.1_5",0.0224320833333333,1.50152944028057e-203,8.10825897751508e-203
"c3.3R.1_5",-0.00309049583333333,4.90920034510869e-09,5.37358416153789e-09
"c2.2R.1_5",0.0162775166666667,1.82063128662273e-35,3.42956126084747e-35
"c3.X.1_5",0.0233496666666667,5.92010231343865e-64,1.77603069403159e-63
"c4.2L.1_5",0.02154975,1.13853484711758e-30,1.84442645233048e-30
"c3.2R.1_5",0.0217551666666667,2.82693506279136e-29,4.40349500165577e-29
"c4.2R.1_5",0.0146787083333333,1.94370765655894e-28,2.86255127602317e-28
"c5.2R.1_5",0.0128229666666667,4.51270669821711e-73,1.66149655707085e-72
"c4.X.1_5",0.0138924,3.51896417470366e-10,3.95883469654162e-10
"c4.3R.1_5",0.0160844999999999,1.79605896777092e-31,2.96899543651928e-31
"c5.2L.1_5",0.0258833333333333,6.35281322324829e-17,7.79663441035018e-17
"c5.3R.1_5",0.00666026666666666,7.07581099974895e-35,1.30259247949924e-34
"c6.2L.1_5",0.0408789166666667,9.99459749595051e-18,1.28501967805078e-17
"c6.2R.1_5",0.03050635,7.47315081292739e-53,1.72950061670605e-52
"c7.2L.1_5",0.02440765,1.39505396578092e-10,1.59154043983457e-10
"c8.2L.1_5",0.0252935666666667,4.73685003052041e-10,5.25595688318018e-10
"c2.3L.1_5",0.0340333333333333,1.1567627940347e-246,1.04108651463123e-245
"c7.2R.1_5",0.0297006666666667,2.76452520223906e-22,3.79536510815871e-22
"c6.3R.1_5",0.0246648,9.61707892721462e-69,3.11593357241754e-68
"c5.X.1_5",0.0257386666666667,1.40727641486782e-08,1.51985852805725e-08
"c8.2R.1_5",0.0235181666666666,6.03948340590379e-12,7.08982834606097e-12
"c9.2R.1_5",0.0202716666666667,5.0267663132488e-33,8.66315045474793e-33
"c9.2L.1_5",0.02444115,2.56401513405993e-41,5.32526220150909e-41
"c7.3R.1_5",0.01395305,1.58930909698229e-36,3.0650961156087e-36
"c10.2L.1_5",0.0404385000000001,2.07644031641456e-53,4.94681369498763e-53
"c11.2L.1_5",0.0317926166666667,2.87371217223769e-26,4.0132876888147e-26
"c8.3R.1_5",0.0153806,9.61488396110006e-57,2.59601866949702e-56
"c12.2L.1_5",0.031327,0,0
"c6.X.1_5",0.00968793333333333,3.0683251312908e-54,7.76669798857984e-54
"c9.3R.1_5",0.0170447083333333,7.01903725387942e-214,4.37340013510948e-213
"c10.2R.1_5",0.0192953,3.37755215275997e-34,6.07959387496795e-34
"c10.3R.1_5",-0.00551376666666667,0.574930806070381,0.582117441146261
"c13.2L.1_5",0.04404365,0,0
"c3.3L.1_5",0.0116993333333333,3.27520428055788e-62,9.47469809732815e-62
"c11.2R.1_5",0.0394088833333334,5.49782948995396e-34,9.68096062361458e-34
"c11.3R.1_5",0.00690706166666667,4.91334075356373e-54,1.20600182132928e-53
"c14.2L.1_5",0.0204243333333334,8.37249972845121e-241,6.78172478004548e-240
"c12.2R.1_5",0.0221067166666667,7.27860411453368e-59,2.03298942509389e-58
"c7.X.1_5",0.00733796666666667,2.20464325219546e-11,2.55108719182618e-11
"c4.3L.1_5",0.00898130583333333,2.88626018470328e-06,3.03619577871384e-06
"c5.3L.1_5",0.00198850000000006,0.60456114549592,0.60456114549592
"c6.3L.1_5",0.00855071666666665,4.36830059389949e-29,6.55245089084924e-29
"c15.2L.1_5",0.0496065833333333,3.09317437272323e-203,1.56591952619114e-202
"c13.2R.1_5",0.0198905,5.09072618740732e-67,1.58595700453843e-66
"c7.3L.1_5",0.028569,9.19139824530814e-53,2.06806460519433e-52
"c16.2L.1_5",0.0550491666666666,2.02561498756788e-112,8.63551652594728e-112
"c8.3L.1_5",0.0152690000000001,9.86728126971508e-05,0.000101170858588218
"c17.2L.1_5",0.05046855,9.78772539760626e-221,6.60671464338423e-220
"c9.3L.1_5",0.0144020833333333,5.96953999869807e-22,7.9267662277794e-22
"c18.2L.1_5",0.0429735000000001,0,0
