"cluster","median.target","pval","FDR"
"c1.3R.1_5",0.00929431666666667,5.44929548932323e-20,7.87120459568911e-20
"c1.2R.1_5",0.00980008333333333,5.09869882971913e-12,6.21403919872019e-12
"c1.X.1_5",0.0585170166666667,1.46254442628553e-19,2.0371154508977e-19
"c1.3L.1_5",-0.0129558333333333,0.000140368916874935,0.000145337728091747
"c1.2L.1_5",0.0239023333333334,1.81664408763109e-15,2.31029737231345e-15
"c2.X.1_5",0.0317805,1.83188949801477e-147,7.65468111670457e-147
"c2.3R.1_5",0.01426585,1.06793806875858e-119,4.03060496918561e-119
"c2.3L.1_5",-0.00269916666666667,0.246349566348817,0.248473269506996
"c2.2R.1_5",0.0223061666666667,9.13132410072976e-95,2.81148663101416e-94
"c2.2L.1_5",0.0332198833333333,4.30386109748065e-21,6.6256809000689e-21
"c3.X.1_5",0.01090925,1.95727290198157e-59,4.01756016722533e-59
"c3.2L.1_5",0.0197031,6.52854265136771e-68,1.414517574463e-67
"c3.2R.1_5",0.0216528833333334,0,0
"c4.2L.1_5",0.0209626666666667,0,0
"c4.X.1_5",0.00830763333333333,4.47689608203875e-56,9.03098002756093e-56
"c3.3L.1_5",0.02044,7.11619829609346e-76,1.69917387886313e-75
"c5.2L.1_5",0.0192288916666667,2.0568114138823e-73,4.71856736125939e-73
"c6.2L.1_5",0.0197893,8.02171019378348e-312,6.25693395115112e-311
"c3.3R.1_5",0.012096,3.08205881245975e-105,1.1268777533056e-104
"c4.3L.1_5",-0.00771456666666667,6.17643387151022e-05,6.45216752648836e-05
"c4.2R.1_5",0.0213012666666667,4.85350844593773e-73,1.09203940033599e-72
"c5.3L.1_5",0.0122371583333334,2.2650883527479e-85,6.16314737840708e-85
"c5.2R.1_5",0.0158959166666667,1.12014126402385e-260,8.1910329931744e-260
"c7.2L.1_5",0.01318612,4.25654130008377e-181,2.37150158147524e-180
"c6.2R.1_5",0.0210653333333333,1.39308318996197e-48,2.67197923320575e-48
"c6.3L.1_5",0.0161691583333333,1.53899102948552e-150,6.66896112777059e-150
"c7.2R.1_5",0.011023,2.79477402679159e-08,3.14412078014054e-08
"c8.2L.1_5",0.0222801666666667,1.80979167418912e-18,2.46215844046659e-18
"c9.2L.1_5",0.0215494166666667,4.04093838989567e-163,2.05560778964258e-162
"c8.2R.1_5",0.019022,7.44314042085933e-90,2.12401812009888e-89
"c4.3R.1_5",0.0404830833333334,2.22681130733434e-11,2.63168609048604e-11
"c10.2L.1_5",0.01405455,0,0
"c5.3R.1_5",0.00554090833333334,1.10357389670965e-11,1.33111490634051e-11
"c11.2L.1_5",0.0325906666666667,3.10577697060741e-14,3.9072678017319e-14
"c6.3R.1_5",0.01006555,1.42036190475711e-53,2.81664987892512e-53
"c7.3L.1_5",0.01678875,5.04484540168559e-20,7.37808639996517e-20
"c12.2L.1_5",0.0187815916666666,0,0
"c9.2R.1_5",0.0129443416666667,4.73594355869687e-45,8.79532375186562e-45
