"id.treat","test.treat","test.cage","chrom","median.target","median.matched","pval","FDR","sig","dynamic"
"Apple","Bloom","1","Genome",0.0248795,0.0038546,1.44547756591305e-88,1.44547756591305e-88,"sig","parallel"
"Apple","Bloom","2","Genome",0.028569,0.00161999999999995,1.94652790189754e-152,1.94652790189754e-152,"sig","parallel"
"Apple","Bloom","3","Genome",0.0350248,0.005671,7.3234022235125e-180,7.3234022235125e-180,"sig","parallel"
"Apple","Bloom","4","Genome",0.0300626,0.00758999999999999,4.4985577029391e-71,4.4985577029391e-71,"sig","parallel"
"Apple","Bloom","5","Genome",0.0237203,0.00124,4.10460322532245e-122,4.10460322532245e-122,"sig","parallel"
"Apple","Bloom","6","Genome",0.0288159,0.0046146,1.18732302943597e-111,1.18732302943597e-111,"sig","parallel"
"Bloom","Apple","1","Genome",0.012362,0.000997000000000026,0,0,"sig","parallel"
"Bloom","Apple","2","Genome",0.00437299999999999,0.0022716,2.6846097714064e-55,2.6846097714064e-55,"sig","parallel"
"Bloom","Apple","3","Genome",0.034165,0.00466499999999997,0,0,"sig","parallel"
"Bloom","Apple","4","Genome",0.057382,0.0029643,0,0,"sig","parallel"
"Bloom","Apple","5","Genome",0.0244886,0.00333799999999995,0,0,"sig","parallel"
"Bloom","Apple","6","Genome",0.0177296,0.00256200000000001,0,0,"sig","parallel"
"Apple","Bloom","1","2L",0.0279717,0.00402799999999998,3.72125819490479e-52,3.72125819490479e-52,"sig","parallel"
"Apple","Bloom","1","2R",0.01228215,0.00140652499999998,4.12530317795049e-08,4.12530317795049e-08,"sig","parallel"
"Apple","Bloom","1","3L",0.045021,0.00285629999999999,4.17540189360134e-50,4.17540189360134e-50,"sig","parallel"
"Apple","Bloom","1","3R",0.018012,0.0066483,0.000964937990494371,0.000964937990494371,"sig","parallel"
"Apple","Bloom","1","X",0.0165953499999999,0.0021907,1.31039237531987e-15,1.31039237531987e-15,"sig","parallel"
"Apple","Bloom","2","2L",0.0354883,0.005719,1.47480194341457e-75,1.47480194341457e-75,"sig","parallel"
"Apple","Bloom","2","2R",0.0206326,-0.00154299999999999,7.71319616614777e-16,7.71319616614777e-16,"sig","parallel"
"Apple","Bloom","2","3L",0.025069,-0.000961299999999998,1.11553020542014e-26,1.11553020542014e-26,"sig","parallel"
"Apple","Bloom","2","3R",0.0335719,0.0004218,7.66833239280709e-53,7.66833239280709e-53,"sig","parallel"
"Apple","Bloom","2","X",0.000584,0.000295199999999995,0.590893817993822,0.590893817993822,"non-sig","non-sig"
"Apple","Bloom","3","2L",0.0530565,0.00667649999999999,2.48548111289089e-114,2.48548111289089e-114,"sig","parallel"
"Apple","Bloom","3","2R",0.0423859,0.00533784999999999,6.83740272108146e-34,6.83740272108146e-34,"sig","parallel"
"Apple","Bloom","3","3L",0.025625,0.00269,2.04479616081933e-25,2.04479616081933e-25,"sig","parallel"
"Apple","Bloom","3","3R",0.021136,0.0057876,7.5679495754505e-24,7.5679495754505e-24,"sig","parallel"
"Apple","Bloom","3","X",0.0105347,0.0084622,0.0196782209304921,0.0196782209304921,"sig","parallel"
"Apple","Bloom","4","2L",0.057603,0.00976300000000008,2.37340994743437e-93,2.37340994743437e-93,"sig","parallel"
"Apple","Bloom","4","2R",0.04806155,0.008159135,8.6806498153852e-15,8.6806498153852e-15,"sig","parallel"
"Apple","Bloom","4","3L",-0.0014298,0.0060239,0.122025544584314,0.122025544584314,"non-sig",NA
