"AdmName","Sample_ID","Name","bam","BamName"
"18032FL-120-08-03",553,"B5-4",".bam","B5-4.bam"
"18032FL-120-08-04",556,"A2-4",".bam","A2-4.bam"
"18032FL-120-08-05",565,"M5-4",".bam","M5-4.bam"
"18032FL-120-08-06",576,"B4-5",".bam","B4-5.bam"
"18032FL-120-08-07",577,"B5-5",".bam","B5-5.bam"
"18032FL-120-08-08",579,"A1-5",".bam","A1-5.bam"
"18032FL-120-09-03",510,"A4-1",".bam","A4-1.bam"
"18032FL-120-09-04",513,"B1-2",".bam","B1-2.bam"
"18032FL-120-09-05",516,"B4-2",".bam","B4-2.bam"
"18032FL-120-09-06",517,"B5-2",".bam","B5-2.bam"
"18032FL-120-09-07",523,"A5-2",".bam","A5-2.bam"
"18032FL-120-09-08",525,"M1-2",".bam","M1-2.bam"
"18032FL-120-10-01",526,"M2-2",".bam","M2-2.bam"
"18032FL-120-10-02",527,"M3-2",".bam","M3-2.bam"
"18032FL-120-10-03",529,"M5-2",".bam","M5-2.bam"
"18032FL-120-10-04",534,"M10-2",".bam","M10-2.bam"
"18032FL-120-10-05",540,"B4-3",".bam","B4-3.bam"
"18032FL-120-10-06",541,"B5-3",".bam","B5-3.bam"
"18032FL-120-10-07",582,"A4-5",".bam","A4-5.bam"
"18032FL-120-10-08",583,"A5-5",".bam","A5-5.bam"
"18032FL-120-11-01",584,"A6-5",".bam","A6-5.bam"
"18032FL-120-11-02",586,"M2-5",".bam","M2-5.bam"
"18032FL-120-11-03",591,"M7-5",".bam","M7-5.bam"
"18032FL-120-11-06",505,"B5-1",".bam","B5-1.bam"
"18032FL-120-11-07",515,"B3-2",".bam","B3-2.bam"
"18032FL-120-11-08",519,"A1-2",".bam","A1-2.bam"
"18032FL-120-12-01",520,"A2-2",".bam","A2-2.bam"
"18032FL-120-12-02",521,"A3-2",".bam","A3-2.bam"
"18032FL-120-12-03",522,"A4-2",".bam","A4-2.bam"
"18032FL-120-12-04",524,"A6-2",".bam","A6-2.bam"
"18032FL-120-12-05",528,"M4-2",".bam","M4-2.bam"
"18032FL-120-12-06",532,"M8-2",".bam","M8-2.bam"
"18032FL-120-12-07",535,"M11-2",".bam","M11-2.bam"
"18032FL-120-12-08",536,"M12-2",".bam","M12-2.bam"
"18032FL-120-13-01",537,"B1-3",".bam","B1-3.bam"
"18032FL-120-13-02",538,"B2-3",".bam","B2-3.bam"
"18032FL-120-13-03",539,"B3-3",".bam","B3-3.bam"
"18032FL-120-13-04",542,"B6-3",".bam","B6-3.bam"
"18032FL-120-13-05",544,"A2-3",".bam","A2-3.bam"
"18032FL-120-13-06",546,"A4-3",".bam","A4-3.bam"
"18032FL-120-13-07",547,"A5-3",".bam","A5-3.bam"
"18032FL-120-13-08",563,"M3-4",".bam","M3-4.bam"
"18032FL-120-14-01",568,"M8-4",".bam","M8-4.bam"
"18032FL-120-14-02",571,"M11-4",".bam","M11-4.bam"
"18032FL-120-14-03",581,"A3-5",".bam","A3-5.bam"
"18032FL-120-14-04",592,"M8-5",".bam","M8-5.bam"
"18032FL-120-14-05",501,"B1-1",".bam","B1-1.bam"
"18032FL-120-14-06",506,"B6-1",".bam","B6-1.bam"
"18032FL-120-14-07",507,"A1-1",".bam","A1-1.bam"
"18032FL-120-14-08",508,"A2-1",".bam","A2-1.bam"
"18032FL-120-15-01",509,"A3-1",".bam","A3-1.bam"
"18032FL-120-15-02",511,"A5-1",".bam","A5-1.bam"
"18032FL-120-15-03",512,"A6-1",".bam","A6-1.bam"
"18032FL-120-15-04",530,"M6-2",".bam","M6-2.bam"
